Légume,Temps de bouture (en jours),Temps de pousse avant récolte (en jours),Taux d'humidité recommandé (en %),Taux de température recommandé (en °C),Taux de lumière recommandé,Durée d'exposition à la lumière (en heures)
Tomates,7-14,60-85,60-70,21-27,Plein soleil,8-10
Carottes,-,60-80,70-75,15-25,Plein soleil,6-8
Courgettes,7-10,40-60,60-70,18-25,Plein soleil,6-8
Laitues,7-10,40-60,50-70,10-25,Mi-ombre à plein soleil,6-10
Radis,5-10,20-30,50-60,10-25,Mi-ombre à plein soleil,4-6
Poivrons,7-14,60-90,50-70,20-30,Plein soleil,8-10
Haricots,7-10,50-70,50-70,18-24,Plein soleil,6-8
Concombres,7-10,50-70,70-80,21-30,Plein soleil,8-10
Épinards,-,40-50,50-70,10-24,Mi-ombre à plein soleil,4-6
Aubergines,7-14,70-90,50-70,24-30,Plein soleil,8-10
Oignons,-,90-120,40-60,10-24,Plein soleil,6-8
Pois,7-14,60-80,50-70,10-24,Mi-ombre à plein soleil,6-8
Choux,7-14,60-100,60-70,10-24,Mi-ombre à plein soleil,6-8
Céleris,7-14,90-120,60-70,15-21,Mi-ombre à plein soleil,6-8
Bettes,-,60-90,50-70,15-25,Mi-ombre à plein soleil,6-8
Maïs,10-14,70-90,50-70,18-32,Plein soleil,10-12
Pommes de terre,-,80-120,70-80,15-25,Mi-ombre à plein soleil,8-10
Courges,7-14,70-120,50-70,18-30,Plein soleil,8-10
Fenouil,7-14,90-120,50-70,15-25,Plein soleil,6-8
Panais,-,90-120,60-70,10-24,Mi-ombre à plein soleil,6-8
